imageNr,imageAngle,thetaHough,confidenceHough,thetaFourier,confidenceFourier,thetaProj,confidenceProj,
3,-2.700000,-3.000006,0.998857,-3.000008,0.996665,-3.000000,0.977276,
3,-2.800000,-3.000006,1.000000,-3.000008,0.998128,-3.000000,0.979911,
3,-2.900000,-3.000006,1.000000,-3.000008,0.994717,-3.000000,0.983040,
3,-3.000000,-3.000006,1.000000,-3.000008,0.989755,-3.000000,0.982661,
3,-3.100000,-3.000006,1.000000,-4.000000,0.997023,-3.000000,0.977961,
3,-3.200000,-3.000006,1.000000,-3.000008,0.999044,-3.000000,0.978393,
3,-3.300000,-3.000006,0.998505,-3.000008,0.998749,-3.000000,0.976597,
3,-3.400000,-3.000006,0.997691,-3.000008,0.998197,-3.000000,0.968233,
3,-3.500000,-3.000006,0.993245,-3.000008,0.996282,-4.000000,0.961738,
3,-3.600000,-3.999999,0.998008,-3.000008,0.990897,-4.000000,0.969508,
3,-3.700000,-3.999999,0.998976,-3.000008,0.984228,-4.000000,0.971115,
3,-3.800000,-3.999999,1.000000,-4.000000,0.975733,-4.000000,0.976679,
3,-3.900000,-3.999999,1.000000,-4.000000,0.975997,-4.000000,0.981499,
3,-4.000000,-3.999999,1.000000,-4.000000,0.968455,-4.000000,0.984788,
3,-4.100000,-3.999999,1.000000,-5.000000,0.961871,-4.000000,0.981385,
3,-4.200000,-3.999999,1.000000,-3.000008,0.988586,-4.000000,0.980009,
3,-4.300000,-3.999999,0.998957,-4.000000,0.984332,-4.000000,0.970520,
3,-4.400000,-3.999999,0.997963,-4.000000,0.991383,-4.000000,0.967514,
3,-4.500000,-3.999999,0.996748,-5.000000,0.975833,-5.000000,0.964736,
3,-4.600000,-5.000002,0.997485,-5.000000,0.972698,-5.000000,0.969161,
3,-4.700000,-5.000002,0.999089,-5.000000,0.961794,-5.000000,0.969055,
3,-4.800000,-5.000002,1.000000,-5.000000,0.987301,-5.000000,0.976264,
3,-4.900000,-5.000002,1.000000,-5.000000,0.990293,-5.000000,0.980961,
3,-5.000000,-5.000002,1.000000,-5.000000,0.986261,-5.000000,0.984582,
